nom,tailleMot,nbResults
ambitionen,10,3170000
faust,5,40000000
siedekesseln,12,5940
tickendes,9,21900
beschlagende,12,10700
ziert,5,3010000
kaufgeldern,11,5550
gewinnverfolgung,16,1860
schockiert,10,2490000
singvogels,10,553000
umwickelst,10,6090
ausgekratzte,12,28000
kameramann,10,1870000
polternd,8,67100
kriminalfilm,12,360000
prospekts,9,2410000
abschirmendem,13,2850
leiten,6,13100000
imbissstube,11,215000
optionsspieler,14,3290
gierig,6,2320000
reformierten,12,1110000
verknallen,10,76200
zahmeren,8,8710
modeentwicklung,15,5210
volkreiches,11,10100
taumelig,8,13900
zeltplatzes,11,31300
impotentestes,13,1290
hauptdarstellerin,17,744000
bundesflaggen,13,1980
anregenden,10,722000
verkehrsnetzen,14,20800
ausstopft,9,24600
unternehmergeist,16,361000
begegnend,9,26300
gletschers,10,495000
betrunkenes,11,110000
ausgehende,10,1750000
bildungszentren,15,239000
leichtathletiker,16,12200000
verbrecherischstes,18,5390
kredenzt,8,297000
beichtgeheimnisse,17,6080
trauertet,9,2270
haft,4,73900000
pokergesichtern,15,2510
zusatz,6,16400000
lasertechnologie,16,378000
erwiderung,10,553000
