nom,tailleMot,nbResults
vervielfachte,13,43700
auffressendes,13,1690
hauptakteur,11,127000
amtsbezeichnung,15,236000
panamaische,11,251000
ostermontag,11,1520000
verherrlichten,14,74200
verunglimpften,14,18000
eingesperrtes,13,24900
reichhaltige,12,2280000
lebendigstes,12,3510
bestrahlendem,13,1710
opportunismus,13,220000
massenflugblatt,15,2010
wirrste,7,420000
umstrittenen,12,2360000
akademisches,12,1060000
affektiertes,12,9910
arbeitsintensive,16,415000
treckender,10,2110
fremdfinanzierungen,19,19100
reformer,8,16900000
unsaubersten,12,4500
ankreidenden,12,2480
verbindungsrohre,16,1330000
agentenstories,14,16900
belegender,10,152000
mischtext,9,3750
watsche,7,46400
fernsehhonorare,15,3270
lohndiktat,10,4800
gastbuch,8,97200
zerschrammte,12,4760
sonnenbad,9,1160000
wertbesetzung,13,2620
tankwarten,10,3550
ausbruchsversuch,16,46900
handwerkern,11,1360000
zivilisation,12,3000000
siedepunkten,12,25700
klanglose,9,7870
geschleppten,12,35100
betupft,7,51700
kehrender,9,14600
kartentasche,12,320000
unternahm,9,1680000
audienz,7,904000
kaltverformungen,16,3910
strassburg,10,7570000
sehnige,7,39200
