nom,tailleMot,nbResults
genickbruch,11,194000
ansteht,7,1720000
hochgehen,9,422000
mittelwestens,13,66200
januarzahlen,12,7610
nerven,6,14400000
geistvollstem,13,1970
erbarmungslosem,15,22300
landstellen,11,34600
griffbereit,11,2060000
haarscharf,10,632000
proklamierte,12,264000
anatomie,8,23700000
umgehe,6,324000
hervorschoss,12,8270
schattierter,12,15200
abstreichender,14,1860
wurmten,7,6600
ausklopfte,10,2490
abbestelltem,12,19300000
erhofftet,9,1970
wiedersehend,12,8600000
zerknitternd,12,1620
ultraschalls,12,99400
kleinbanken,11,52600
sporadischen,12,230000
milieu,6,143000000
abgeschleppter,14,3900
wartezimmers,12,13700
unfrei,6,2370000
vollbrachten,12,200000
fortstossendes,14,101
nationalarmee,13,32800
hinunterschluckende,19,48700
einheftend,10,1030
einweihung,10,4330000
lichtende,9,442000
lasttier,8,156000
geschenkte,10,497000
indossierst,11,1880
wurzelworts,11,1260
elegantes,9,52800000
aktieninhaberinnen,18,1650
nachahmender,12,41500
gewiderten,10,349
spanische,9,14600000
schwachstrom,12,328000
geplagter,9,50300
phonetisches,12,28700
geholfen,8,15500000
